NUM,STATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1,ADEL,0.89,0.97,0.93,0.93,0.83,0.66,0.38,0.38,0.48,0.63,1.14,0.96,9.18
2,ALKALI LAKE,0.52,0.46,0.79,0.89,1.14,0.85,0.61,0.66,0.53,0.69,0.67,0.59,8.4
3,ALSEA F H FALL CREEK,14.06,12.38,10.29,6.92,4.28,2.45,0.79,1.17,2.97,6.02,14.51,15.86,91.7
4,ANTELOPE 1 NW,1.64,1.27,1.26,1.11,1.37,1.04,0.43,0.61,0.75,0.95,1.88,1.62,13.93
5,APPLEGATE,3.9,3.55,2.88,1.95,1.18,0.64,0.2,0.43,0.61,1.76,4.15,3.95,25.2
6,ARLINGTON,1.39,0.99,0.76,0.67,0.65,0.35,0.18,0.29,0.43,0.66,1.24,1.44,9.05
7,ASHLAND,2.49,1.92,2.09,1.68,1.55,0.92,0.51,0.61,0.88,1.46,2.85,2.8,19.76
8,ASHWOOD 2 NE,1.67,1.3,1.22,1.21,1.44,0.95,0.48,0.55,0.62,1.03,1.74,1.62,13.83
9,ASTORIA CLATSOP CO AP,9.62,7.87,7.37,4.93,3.28,2.57,1.16,1.21,2.61,5.61,10.5,10.4,67.13
10,AUSTIN 3 S,2.72,2,2.01,1.45,1.66,1.49,0.9,0.96,1,1.12,2.79,3,21.1
11,BAKER,0.91,0.63,0.83,0.86,1.35,1.24,0.69,0.87,0.73,0.57,0.97,0.95,10.6
12,BANDON 2 NNE,9.22,7.76,7.39,4.61,3.16,1.63,0.43,0.9,1.63,3.88,9.13,9.71,59.45
13,BARNES STATION,1.44,1.1,1.24,1.05,1.42,1.04,0.79,0.86,0.68,0.86,1.62,1.62,13.72
14,BEAVERTON 2 SSW,5.83,4.84,4.06,2.79,2.25,1.62,0.68,0.84,1.64,2.92,6.07,6.41,39.95
15,BELKNAP SPRINGS 8 N,11.31,9.61,7.88,5.73,3.99,2.68,1.03,1.13,2.44,5.23,12.19,12.75,75.97
16,BEND,1.76,1.13,0.92,0.7,0.9,0.75,0.62,0.6,0.49,0.62,1.46,1.78,11.73
17,BEULAH,1.37,1.11,1.25,0.91,1.19,0.84,0.42,0.54,0.49,0.67,1.4,1.61,11.8
18,BOARDMAN,1.19,0.91,0.73,0.7,0.63,0.45,0.28,0.31,0.42,0.58,1.22,1.19,8.61
19,BONNEVILLE DAM,11.2,9.83,7.96,6.02,3.96,3.01,1.03,1.35,3.02,5.73,12.09,12.77,77.97
20,BROOKINGS 2 SE,11.28,10.14,9.61,5.72,3.61,1.83,0.51,1.04,1.95,5.22,10.58,11.99,73.48
21,BROTHERS,0.81,0.43,0.7,0.65,1.18,0.81,0.64,0.65,0.54,0.67,1.04,0.96,9.08
22,BUENA VISTA STATION,0.8,0.79,0.83,0.87,1.3,0.88,0.47,0.57,0.62,0.58,1.01,0.94,9.66
23,BUNCOM 1 NNE,3.42,2.68,2.58,1.79,1.39,1,0.43,0.65,0.95,1.67,3.29,3.71,23.56
24,BURNS JUNCTION,0.8,0.84,0.9,0.97,1,0.81,0.46,0.4,0.46,0.47,0.78,0.78,8.67
25,BURNS MUNICIPAL AP,1.18,1.11,1.24,0.85,1.05,0.66,0.4,0.45,0.5,0.72,1.11,1.3,10.57
26,BUTTE FALLS 1 SE,4.29,4.03,3.95,2.73,2.2,1.32,0.37,0.67,1.1,2.9,5.69,5.12,34.37
27,CASCADIA,8.24,6.97,6.93,5.83,4.7,3.08,0.98,1.37,2.44,4.82,9.97,9.29,64.62
28,CAVE JUNCTION 1 WNW,10.81,9.75,8.15,4.1,2.27,0.74,0.28,0.55,1.32,3.66,10.04,10.98,62.65
29,CHEMULT,4.16,3.04,2.56,1.26,1.14,0.82,0.59,0.67,0.83,1.32,3.8,4.17,24.36
30,CHILOQUIN 7 NW,3.15,2.57,2.21,1.41,1.18,0.59,0.47,0.58,0.62,1.17,2.87,3.37,20.19
31,CLATSKANIE,8.28,6.75,5.94,4.08,2.69,1.83,0.84,0.96,2.22,4.08,8.84,8.98,55.49
32,CLOVERDALE,11.85,9.65,9.16,6.04,4.66,3.16,1.44,1.45,3.58,6.16,12.57,12.81,82.53
33,CONDON,1.6,1.37,1.36,1.35,1.42,1.01,0.55,0.61,0.68,1.06,1.88,1.67,14.56
34,COQUILLE CITY,8.7,7.29,6.92,4.47,2.94,1.38,0.41,0.69,1.49,3.5,8.87,8.93,55.59
35,CORVALLIS STATE UNIV,6.46,5.71,4.59,2.98,2.3,1.46,0.57,0.73,1.47,3.02,6.94,7.43,43.66
36,CORVALLIS WATER BUREAU,11.24,9.65,7.59,4.62,2.89,1.53,0.49,0.66,1.79,4.15,10.71,12.44,67.76
37,COTTAGE GROVE 1 NNE,6.51,5.4,5.2,4,2.81,1.53,0.6,0.92,1.48,3.22,7.27,6.96,45.9
38,COTTAGE GROVE DAM,6.89,5.84,5.48,4.32,3.15,1.67,0.68,0.97,1.68,3.66,7.77,7.46,49.57
39,COVE,2.17,1.86,1.87,2.41,2.9,2.21,0.77,0.91,1.16,1.66,2.75,2.14,22.81
40,CRATER LAKE NATL PARK H,9.81,8.47,7.79,5.34,3.5,2.03,0.95,1.07,2.21,4.49,10.53,10.5,66.69
41,CURTIN NEAR,7.18,6.11,5.41,4.16,2.99,1.69,0.71,0.87,1.63,3.6,7.63,8.11,50.09
42,DALLAS 2 NE,7.82,6.66,5.33,3.24,2.21,1.41,0.5,0.67,1.44,3.28,7.79,8.78,49.13
43,DANNER,1.32,1.16,1.28,1.22,1.26,1.05,0.48,0.46,0.71,0.87,1.26,1.21,12.28
44,DAYVILLE 8 NW,0.83,0.73,1.26,1.2,1.6,1.18,0.66,0.63,0.4,0.67,1.18,0.98,11.32
45,DETROIT DAM,12.46,11,9.45,7.31,5.56,3.51,1.04,1.35,3.28,6.41,14.08,14.17,89.62
46,DILLEY 1 S,6.97,5.92,4.81,2.95,1.99,1.39,0.5,0.74,1.57,3.13,7.02,7.87,44.86
47,DORA 2 W,9.47,7.22,7.25,5.28,3.35,1.57,0.47,0.85,1.84,3.89,9.59,9.87,60.65
48,DORENA DAM,6.21,5.41,5.29,4.34,3.25,1.81,0.75,1.03,1.8,3.39,7.42,6.73,47.43
49,DRAIN,7.2,6.13,5.28,3.81,2.52,1.3,0.46,0.87,1.38,3.25,7.79,7.87,47.86
50,DREWSEY,1.33,1.09,1.17,0.78,0.97,0.74,0.41,0.45,0.51,0.62,1.31,1.32,10.7
51,DUFUR,2.07,1.51,1.27,0.96,0.84,0.62,0.33,0.45,0.54,0.91,1.83,2.04,13.37
52,EAGLE CREEK 9 SE,7.65,6.81,6.34,5.71,4.78,3.38,1.43,1.55,2.9,4.98,8.91,8.34,62.78
53,ELGIN,3.16,2.6,2.14,1.96,1.95,1.58,0.8,0.72,1.04,1.68,3.27,3.39,24.29
54,ELKTON 3 SW,8.09,6.97,6.05,3.92,2.42,1.1,0.35,0.68,1.45,3.29,8.89,9.29,52.5
55,ENTERPRISE 20 NNE,1.7,1.47,1.66,1.94,2.25,1.95,1.3,1.15,1.13,1.19,2.16,1.9,19.8
56,ESTACADA 2 SE,8.04,6.95,6.18,5.08,4.04,2.68,1.07,1.28,2.47,4.77,8.45,8.47,59.48
57,EUGENE MAHLON SWEET AP,7.65,6.35,5.8,3.66,2.66,1.53,0.64,0.99,1.54,3.35,8.44,8.29,50.9
58,FAIRVIEW 4 NE,10.42,9.5,8.29,5.65,3.6,1.97,0.62,0.98,2.14,4.78,11.16,11.67,70.78
59,FALLS CITY NO 2,10.88,9.58,7.69,4.48,2.53,1.43,0.51,0.74,1.73,4.25,10.93,12.51,67.26
60,FERN RIDGE DAM,6.42,5.49,4.72,3.1,2.17,1.39,0.53,0.7,1.33,2.81,7.18,7.64,43.48
61,FOREST GROVE,7.09,6.13,4.91,3.04,2.03,1.45,0.53,0.76,1.55,3.09,7.47,7.83,45.88
62,FOSSIL,1.5,1.27,1.49,1.42,1.66,1.11,0.55,0.72,0.79,1.33,1.77,1.57,15.18
63,FOSTER DAM,7.09,6.29,5.78,4.63,4.02,2.59,0.86,1.16,1.93,3.95,8.49,7.86,54.65
64,FREMONT 5 NW,1.67,1.1,1.59,0.8,0.99,0.84,0.53,0.63,0.4,0.81,1.58,1.56,12.5
65,GARDINER 1 N,10.4,8.71,8.45,4.96,3.79,2.34,0.68,0.88,1.62,5.02,11.14,11.36,69.35
66,GOLD BEACH RANGER STN,11.74,11.03,10.67,6.52,3.85,1.86,0.45,1.1,2.18,5.04,11.82,13.28,79.54
67,GOVERNMENT CAMP,12.86,10.23,8.5,7.54,5.2,3.8,1.36,1.61,3.6,6.51,13.13,14.38,88.72
68,GRANTS PASS,4.96,4.36,3.66,2.02,1.21,0.53,0.37,0.45,0.87,2.07,5.12,5.4,31.02
69,GREEN SPRINGS POWER PLN,3.03,2.39,2.62,1.99,1.8,0.98,0.44,0.63,0.87,1.5,3.36,3.43,23.04
70,GRIZZLY,1.61,1.23,1.29,1.14,1.39,0.95,0.52,0.68,0.59,0.93,1.82,1.3,13.45
71,HALFWAY,3.31,2.46,2.01,1.58,1.67,1.28,0.64,0.62,0.84,1.21,3.03,3.6,22.25
72,HART MOUNTAIN REFUGE,0.92,0.91,1.42,1.54,1.69,1.17,0.46,0.5,0.79,1.06,1.2,1.06,12.72
73,HASKINS DAM,12.18,10.63,8.74,5.31,3.02,1.74,0.54,0.77,2.39,4.97,12.1,13.45,75.84
74,HEADWORKS PTLD WTR BUR,10.42,9,8.19,7.04,5.6,4.07,1.57,1.86,3.9,6.23,10.9,11.3,80.08
75,HEPPNER,1.42,1.23,1.6,1.4,1.67,1.09,0.35,0.54,0.68,1.12,1.77,1.33,14.2
76,HERMISTON 1 SE,1.51,1.07,0.96,0.87,0.89,0.53,0.23,0.36,0.48,0.69,1.5,1.35,10.44
77,HILLSBORO,5.76,4.72,3.93,2.46,1.9,1.47,0.6,0.9,1.55,2.67,5.9,6.33,38.19
78,HOLLEY,7.06,6.24,5.56,4.12,3.15,2.05,0.71,1.01,1.67,3.73,7.89,7.91,51.1
79,HONEYMAN STATE PARK,10.83,9.34,8.96,5.24,3.8,2.47,0.92,1.14,2.27,5.34,10.76,11.96,73.03
80,HOOD RIVER EXP STN,5.39,4.36,2.88,1.81,1.08,0.79,0.31,0.49,1.15,2.21,5.35,5.93,31.75
81,HOWARD PRAIRIE DAM,4.85,3.86,3.72,2.39,2.06,1.28,0.58,0.72,1.07,2.04,4.79,5.21,32.57
82,HUNTINGTON,1.75,1.58,1.43,0.97,1.19,0.83,0.54,0.51,0.55,0.76,1.74,1.96,13.81
83,IDLEYLD PARK 4 NE,9.01,7.51,6.99,5.29,3.52,1.88,0.74,1.08,2.03,4.58,10.41,10.32,63.36
84,ILLAHE,13.77,11.56,10.53,5.51,3.32,1.31,0.29,0.82,2.28,5.12,13.02,13.3,80.83
85,IONE 18 S,1.4,1.17,1.11,1.12,1.32,0.82,0.34,0.45,0.6,0.93,1.56,1.33,12.15
86,IRONSIDE 2 W,1.39,1.14,0.98,0.86,1.2,1,0.64,0.72,0.58,0.61,1.45,1.66,12.23
87,JOHN DAY,1.14,0.79,1.28,1.38,1.74,1.27,0.64,0.85,0.78,0.87,1.41,1.38,13.53
88,JUNTURA 9 ENE,1.09,0.93,0.99,0.88,1.12,0.91,0.44,0.41,0.46,0.62,1.24,1.36,10.45
89,KENO,3.08,2.17,2.3,1.37,1.36,0.94,0.38,0.64,0.77,1.31,2.92,2.97,20.21
90,KENT,1.46,1.23,1.18,1.09,1.14,0.85,0.49,0.47,0.56,0.89,1.66,1.52,12.54
91,KLAMATH FALLS 2 SSW,2.03,1.42,1.53,0.93,1.1,0.69,0.36,0.5,0.58,0.85,1.95,2.01,13.95
92,KLAMATH FALLS AG STA,1.72,1.27,1.17,0.75,0.8,0.67,0.33,0.58,0.53,0.77,1.78,1.59,11.96
93,LACOMB 3 NNE,7.27,6.34,6.14,4.9,3.99,2.83,1.06,1.18,2.14,4.34,8.75,8.02,56.96
94,LA GRANDE,1.83,1.32,1.5,1.58,1.9,1.53,0.7,0.86,0.84,1.26,2.22,1.94,17.48
95,LAKEVIEW 2 NNW,1.9,1.69,1.7,1.3,1.46,0.99,0.48,0.42,0.77,1.02,1.83,1.9,15.46
96,LANGLOIS #2,11.57,10.13,9.71,6.03,4.03,1.91,0.53,1.07,1.85,4.69,11.01,11.88,74.41
97,LAUREL MOUNTAIN,19.49,15.74,13.01,8.19,5.5,3.7,1.22,1.51,4.35,9.19,18.36,20.63,120.89
98,LEABURG 1 SW,8.87,7.78,7.31,5.88,4.25,2.68,0.86,1.14,2.48,4.95,10.57,9.91,66.68
99,LEMOLO LAKE 3 NNW,9.63,7.92,6.53,5.27,3.73,2.62,1.2,1.21,2.23,4.51,9.86,10.76,65.47
100,LITTLE RIVER,6.88,5.73,5.95,4.78,3.37,1.99,0.77,1.03,1.75,3.78,8.77,8.02,52.82
101,LONG CREEK,1.66,1.29,1.68,1.71,1.91,1.35,0.82,0.9,0.81,1.21,1.8,1.64,16.78
102,LOOKINGGLASS,6.07,4.93,4.28,3,1.75,0.86,0.32,0.49,1.1,2.7,6.26,6.96,38.72
103,LOOKOUT POINT DAM,6.03,5.21,5.05,4.23,3.47,2.12,0.79,1.1,1.76,3.28,7.11,6.57,46.72
104,LOST CREEK DAM,4.88,4.02,3.78,2.5,2.04,1,0.55,0.69,1.11,2.41,5.32,5.45,33.75
105,LOWER HAY CREEK,1.25,0.84,0.94,1.03,1.23,0.8,0.44,0.49,0.51,0.77,1.46,1.18,10.94
106,MADRAS,1.25,0.93,0.89,0.83,0.95,0.58,0.53,0.48,0.46,0.76,1.39,1.21,10.26
107,MADRAS 2 N,1.74,1.17,1.05,0.99,1.06,0.74,0.57,0.51,0.49,0.77,1.57,1.37,12.03
108,MALHEUR BRANCH EXP STN,1.29,1.04,1.08,0.84,0.98,0.78,0.36,0.38,0.48,0.65,1.19,1.37,10.44
109,MALHEUR REFUGE HDQ,0.98,0.75,1.11,0.94,1.17,0.83,0.44,0.59,0.55,0.73,1.11,0.94,10.14
110,MALIN 5 E,1.66,1.27,1.57,1.14,1.42,0.99,0.44,0.6,0.77,1.05,1.44,1.4,13.75
111,MARION FRKS FISH HATCH,10.54,8.9,7.32,5.37,3.98,2.67,1.11,1.08,2.27,4.91,11.21,11.54,70.9
112,MASON DAM,1.86,1.38,1.58,1.26,1.74,1.67,0.85,0.95,0.81,0.93,1.86,1.95,16.84
113,MC DERMITT 26 N,0.77,0.63,1.02,1.07,1.39,0.96,0.42,0.47,0.5,0.72,0.8,0.73,9.48
114,MC KENZIE BRIDGE R S,9.24,7.99,7.11,5.75,4.13,2.85,1,1.42,2.71,4.97,10.89,10.68,68.74
115,MC MINNVILLE,6.63,5.5,4.65,2.81,1.94,1.14,0.43,0.52,1.37,2.96,6.23,7.48,41.66
116,MEDFORD EXPERIMENT STN,2.77,2.32,2.26,1.61,1.41,0.77,0.5,0.57,0.95,1.51,3.2,3.27,21.14
117,MEDFORD AP,2.47,2.1,1.85,1.31,1.21,0.68,0.31,0.52,0.78,1.31,2.93,2.9,18.37
118,METOLIUS 1 W,1.38,0.94,0.95,0.79,0.88,0.67,0.41,0.57,0.43,0.69,1.41,1.22,10.34
119,MIKKALO 6 W,1.43,1.1,0.93,1.07,0.95,0.59,0.24,0.41,0.44,0.8,1.57,1.35,10.88
120,MILTON FREEWATER,1.7,1.37,1.74,1.48,1.61,1.05,0.56,0.69,0.76,1.14,2.07,1.79,15.96
121,MITCHELL 2 NW,0.87,0.62,1,1.22,1.65,1.13,0.61,0.65,0.67,0.8,1.12,0.99,11.33
122,MONUMENT 2,1.42,1.15,1.51,1.37,1.55,1.2,0.56,0.77,0.6,0.92,1.58,1.39,14.02
123,MORO,1.57,1.14,1.09,0.88,0.89,0.62,0.31,0.38,0.52,0.85,1.64,1.54,11.43
124,MYRTLE CREEK 8 NE,5.36,4.54,4.13,3.31,2.41,1.2,0.47,0.62,1.17,2.81,6.29,6.21,38.52
125,NEHALEM 9 NE,18.13,15.38,13.05,8.57,5.47,4.09,1.99,1.83,4.65,9.07,19.35,20.82,122.4
126,NEWPORT,10.25,8.69,7.74,4.87,3.68,2.72,1.04,1.02,2.39,5.12,10.67,11.38,69.57
127,NORTH BEND AP,9.54,8.12,7.94,5.19,3.4,1.72,0.51,0.88,1.73,4.62,10.36,10.42,64.43
128,N WILLAMETTE EXP STN,5.94,5.07,4.28,3.14,2.5,1.75,0.73,0.83,1.77,3.36,6.48,6.75,42.6
129,NYSSA,1.31,1.1,1.01,0.9,1.03,0.8,0.34,0.35,0.56,0.62,1.19,1.38,10.59
130,OAKLAND,5.87,4.95,4.28,3.22,2.25,1.14,0.54,0.66,1.38,2.93,6.64,6.62,40.48
131,OAKRIDGE FISH HATCHERY,6.31,5.05,4.82,4.08,3.01,1.78,0.66,1.04,1.64,3.29,7.17,6.88,45.73
132,OCHOCO RANGER STATION,2.13,1.62,1.4,1.11,1.29,1.03,0.82,0.82,0.85,1.16,2.18,2.1,16.51
133,ODELL LAKE EAST,4.89,4.37,3.31,2.14,1.6,1.07,0.63,0.69,0.98,2.34,5.34,5.27,32.63
134,ONTARIO KSRV,1.29,0.87,0.86,0.68,0.93,0.62,0.3,0.28,0.47,0.55,1.19,1.41,9.45
135,O O RANCH,0.92,0.65,1.07,0.84,1.33,0.77,0.45,0.65,0.57,0.71,0.92,0.87,9.75
136,OREGON CITY,6.59,5.51,4.7,3.46,2.7,1.83,0.83,1,1.93,3.48,6.79,7.23,46.05
137,OTIS 2 NE,14.13,11.81,10.81,7.22,5.25,3.72,1.72,1.66,3.8,7.56,14.63,15.82,98.13
138,OWYHEE DAM,1.12,0.83,0.98,0.94,1.09,0.94,0.51,0.47,0.51,0.6,0.92,1.09,10
139,PAISLEY,1.29,0.98,1.09,0.87,1,0.91,0.54,0.58,0.6,0.63,1.16,1.16,10.81
140,PARKDALE 1 NNE,5.29,4.53,2.96,1.99,1.17,0.86,0.33,0.47,1.17,2.4,5.52,5.61,32.3
141,PAULINA,1.3,0.85,1.14,0.96,1.28,0.91,0.65,0.64,0.48,0.82,1.19,1.1,11.32
142,PELTON DAM,1.65,1.1,0.95,0.8,0.85,0.56,0.37,0.44,0.41,0.65,1.53,1.49,10.8
143,PENDLETON BR EXP STN,1.94,1.61,1.9,1.66,1.67,1.06,0.39,0.72,0.81,1.29,2.44,2.06,17.55
144,PENDLETON DOWNTOWN,1.53,1.29,1.35,1.51,1.54,0.88,0.36,0.46,0.59,1.18,1.93,1.33,13.95
145,PENDLETON MUNICIPAL AP,1.45,1.22,1.26,1.13,1.22,0.78,0.41,0.56,0.63,0.99,1.63,1.48,12.76
146,PILOT ROCK 1 SE,1.34,1.18,1.55,1.46,1.67,1.24,0.4,0.67,0.72,0.98,1.72,1.38,14.31
147,PORTLAND KGW TV,6.24,5.07,4.51,3.1,2.49,1.6,0.76,0.99,1.87,3.39,6.39,6.75,43.16
148,PORTLAND INTL AP,5.07,4.18,3.71,2.64,2.38,1.59,0.72,0.93,1.65,2.88,5.61,5.71,37.07
149,PORT ORFORD 2,11.4,9.57,9.69,5.75,3.85,2.11,0.63,1.2,2.02,4.86,10.89,12.24,74.21
150,PORT ORFORD 5 E,18.68,16.4,15.68,9.49,6.06,3.43,0.95,1.78,3.31,7.76,17.25,20.07,120.86
151,POWERS,9.45,8.26,7.43,5.14,2.96,1.14,0.32,0.69,1.62,3.53,8.98,9.87,59.39
152,P RANCH REFUGE,1.06,0.97,1.21,1.43,1.56,1.12,0.45,0.64,0.72,0.92,1.17,1.28,12.53
153,PRINEVILLE 4 NW,1.14,1,0.95,0.8,1.06,0.84,0.58,0.45,0.41,0.76,1.3,1.2,10.49
154,PROSPECT 2 SW,6.08,5.03,4.71,3.19,2.61,1.15,0.64,0.87,1.43,3.02,6.7,6.8,42.23
155,REDMOND ROBERTS AP,0.97,0.68,0.76,0.65,0.95,0.62,0.55,0.54,0.37,0.56,0.98,0.92,8.55
156,RESTON,8,6.66,5.63,3.68,2.08,0.92,0.22,0.6,1.37,3.25,8.66,8.82,49.89
157,REX 1 S,6.37,5.16,4.45,3.04,2.51,1.69,0.64,0.89,1.76,3.33,6.83,6.95,43.62
158,RICHLAND,1.5,0.96,1.06,1.03,1.34,1.07,0.7,0.75,0.5,0.67,1.5,1.39,12.47
159,RIDDLE,4.7,3.86,3.51,2.42,1.56,0.86,0.38,0.62,1.01,2.15,5.2,5.28,31.55
160,RIVERSIDE 7 SSW,1.06,0.92,1.05,0.82,1.08,0.85,0.53,0.5,0.46,0.62,1.01,1.11,10.01
161,ROCK CREEK,2.47,1.94,1.86,1.42,1.77,1.8,1.09,0.97,0.82,1.03,2.65,2.73,20.55
162,ROCKVILLE 5 N,1.01,0.95,1.41,1.35,1.64,1.11,0.54,0.53,0.62,0.85,1.16,1.11,12.28
163,ROME 2 NW,0.79,0.59,0.79,0.83,1.17,0.85,0.44,0.29,0.53,0.54,0.71,0.75,8.28
164,ROSEBURG KQEN,4.97,4.1,3.81,2.75,1.82,0.92,0.44,0.67,1.07,2.27,5.42,5.42,33.66
165,ROUND GROVE,1.9,1.91,2.14,1.43,1.5,1.2,0.56,0.69,0.74,1.36,2.1,2.21,17.74
166,RUCH,3.79,3.1,3.05,1.8,1.27,0.76,0.49,0.53,0.97,1.7,3.98,4.3,25.74
167,ST HELENS RFD,6.13,5.32,4.72,3.58,2.8,2.01,0.85,1.12,1.97,3.39,6.73,7.08,45.7
168,SALEM MCNARY AP,5.84,5.09,4.17,2.76,2.13,1.45,0.57,0.68,1.43,3.03,6.39,6.46,40
169,SANTIAM JUNCTION,9.6,7.33,6.7,5.13,3.55,2.63,0.99,0.85,1.75,4.43,9.74,9.49,62.19
170,SANTIAM PASS,12.59,11,8.82,6.08,4.25,3.27,1.11,1.6,3.17,5.89,13.08,13.43,84.29
171,SCOTTS MILLS 9 SE,11.64,9.87,9.03,6.85,5.41,3.55,1.38,1.54,3.35,6.19,12.23,12.47,83.51
172,SEASIDE,10.27,9.57,8.44,5.74,3.96,3,1.63,1.34,3,6.07,11.38,11.34,75.74
173,SENECA,1.34,1.09,1.28,1.06,1.6,1.17,0.7,0.72,0.69,0.83,1.47,1.63,13.58
174,SEXTON SUMMIT,4.71,4.29,3.92,2.38,1.35,0.94,0.35,0.61,1.2,2.93,5.32,5.18,33.18
175,SHEAVILLE 1 SE,1.83,1.71,1.81,1.59,1.58,1.33,0.54,0.5,0.7,1.11,1.72,1.79,16.21
176,SILVER CREEK FALLS,9.9,9.35,8.79,7.01,4.98,3.45,1.25,1.32,2.75,5.38,11.29,10.59,76.06
177,SILVER LAKE RANGER STN,0.99,0.73,0.81,0.76,1.11,0.79,0.58,0.59,0.57,0.61,1.1,1.16,9.8
178,SILVERTON,6.49,5.57,5.03,3.79,2.98,2.08,0.86,0.99,1.88,3.6,7.16,7.07,47.5
179,SISTERS,2.32,1.72,1.17,0.89,0.79,0.6,0.45,0.5,0.48,0.98,2.14,2.15,14.19
180,SOUTH DEER CREEK,5.04,4.2,3.98,3.12,2.23,1.26,0.5,0.68,1.19,2.62,5.8,5.72,36.34
181,SPRAGUE RIVER 2 SE,2.36,1.79,1.93,1.05,1.15,0.71,0.47,0.55,0.68,1.07,2.06,2.26,16.08
182,SQUAW BUTTE EXP STATION,1.41,1.02,1.3,1.03,1.31,0.8,0.45,0.58,0.63,0.79,1.25,1.23,11.8
183,STAYTON,7.17,6.46,5.37,4.26,3.31,2.42,0.87,1.15,2.18,4.03,8.16,8,53.38
184,SUMMER LAKE 1 S,1.56,1.25,1.14,0.99,1.17,0.86,0.55,0.53,0.61,0.79,1.67,1.66,12.78
185,SUMMIT,10.08,8.64,7.21,5.24,3.35,2.35,0.84,0.89,2.2,4.67,10.44,11.52,67.43
186,SUNTEX,0.72,0.64,0.91,0.7,1.15,0.59,0.38,0.53,0.57,0.64,1.23,0.88,8.94
187,SUTHERLIN 2 W,5.65,4.92,4.41,3.35,2.36,1.32,0.59,0.75,1.38,2.9,6.67,6.45,40.75
188,THE DALLES,2.62,2.07,1.2,0.85,0.54,0.42,0.18,0.36,0.48,0.96,2.03,2.77,14.48
189,THE POPLARS,1.3,1.32,1.04,0.89,1.25,0.86,0.6,0.74,0.49,0.7,1.12,1.22,11.53
190,THREE LYNX,10.47,8.85,7.58,5.94,4.36,3.01,1.01,1.08,2.82,5.29,11.03,11.27,72.71
191,TIDEWATER 2 SW,14.22,11.93,10.88,7,4.66,2.77,0.87,1.16,2.72,5.92,14.07,15.42,91.62
192,TILLAMOOK 1 W,13.09,10.79,9.9,6.81,4.84,3.41,1.64,1.42,3.68,7.16,13.72,13.94,90.4
193,TOKETEE FALLS,6.61,5.55,5.44,4.26,3.07,1.75,0.8,1.13,1.63,3.55,7.65,7.41,48.85
194,TROUTDALE,6.09,5.16,4.4,3.65,2.83,2.2,0.94,1.1,2,3.34,6.53,6.61,44.85
195,UKIAH,1.78,1.39,1.37,1.45,1.77,1.29,0.73,0.85,0.75,1.21,2,1.96,16.55
196,UNION EXPERIMENT STN,1.15,0.97,1.2,1.52,2.02,1.47,0.71,0.84,0.84,0.97,1.53,1.19,14.41
197,UNITY,1.24,0.74,0.81,0.78,1.13,1.16,0.58,0.78,0.53,0.61,1.2,1.2,10.76
198,VALE,1.22,0.96,1,0.85,1.05,0.75,0.47,0.38,0.52,0.62,1.11,1.35,10.28
200,VALSETZ,18.88,17.28,14.36,9.07,5.82,3.91,1.25,1.77,3.95,8.81,21.03,21.58,127.71
201,VERNONIA 2,7.47,5.91,5.27,3.73,2.38,1.65,0.62,0.79,2.09,3.66,7.56,8.01,49.14
202,WAGONTIRE,0.83,0.8,0.89,0.63,1.13,0.59,0.5,0.51,0.52,0.71,1.23,1.09,9.43
203,WALLA WALLA 13 ESE,5.46,4.56,4.51,3.74,2.95,2.05,0.75,1.06,1.58,2.99,5.82,5.01,40.48
204,WALLOWA,1.84,1.44,1.3,1.39,1.76,1.44,0.94,0.89,1.09,1.33,2.07,1.91,17.4
205,WASCO,1.8,1.22,1.09,0.82,0.71,0.57,0.27,0.38,0.5,0.85,1.73,1.72,11.66
206,WATERLOO,6.12,5.45,5,3.6,2.87,2.08,0.63,1.01,1.61,3.35,7.11,6.72,45.55
207,WESTFALL,1.24,0.97,0.92,0.81,1.18,0.93,0.47,0.51,0.43,0.53,1.17,1.3,10.46
208,WHITEHORSE RANCH,0.63,0.7,0.87,0.92,0.93,0.55,0.21,0.68,0.54,0.57,0.67,0.71,7.98
209,WICKIUP DAM,3.46,2.59,2.01,1.32,1.17,1.01,0.81,0.84,0.81,1.33,3.12,3.56,22.03
210,WILLAMINA,7.78,6.89,5.95,3.82,2.3,1.44,0.53,0.49,1.65,3.37,8.12,9.11,51.45
211,WILLIAMS 1 NW,5.5,4.51,3.75,2.07,1.34,0.61,0.35,0.47,0.86,2.11,5.26,5.75,32.58
212,WINCHESTER,5.14,4.47,3.97,2.94,1.93,0.98,0.4,0.65,1.14,2.41,5.89,5.81,35.73
